Número de evento;Magnitud
1;5.3
2;7.2
3;5.2
4;4.6
5;4.0
6;4.4
7;4.0
8;4.3
9;3.9
10;4.0
11;3.8
12;4.1
13;3.7
14;4.2
15;4.2
16;4.2
17;3.8
18;4.1
19;4.5
20;3.7
21;3.4
22;3.5
23;4.5
24;3.7
25;4.2
26;3.9
27;3.8
28;3.8
29;3.4
30;3.7
31;3.8
32;3.8
33;3.7
34;3.9
35;3.8
36;4.0
37;5.0
38;3.3
39;3.4
40;4.2
41;3.4
42;3.8
43;4.3
44;3.8
45;4.0
46;3.9
47;5.0
48;3.1
49;3.9
50;3.8
51;3.3
52;3.9
53;5.1
54;3.1
55;4.1
56;4.1
57;3.9
58;3.1
59;3.9
60;3.1
61;3.5
62;3.3
63;4.1
64;4.4
65;3.5
66;5.1
67;5.7
68;4.2
